group	t1	t2	winner	date
C	FNC	SKT	2	10-12
C	RNG	CG	1	10-12
D	IG	AHQ	1	10-12
D	DWG	TL	2	10-12
B	JT	FPX	1	10-12
B	GAM	SPY	2	10-12
C	SKT	RNG	1	10-13
C	FNC	CG	1	10-13
D	TL	IG	2	10-13
D	AHQ	DWG	2	10-13
A	GRF	G2	2	10-13
A	C9	HKA	1	10-13
D	IG	DWG	2	10-14
D	AHQ	TL	2	10-14
B	FPX	SPY	1	10-14
B	JT	GAM	2	10-14
A	GRF	HKA	1	10-14
A	G2	C9	1	10-14
C	RNG	FNC	1	10-15
C	CG	SKT	2	10-15
B	FPX	GAM	1	10-15
B	SPY	JT	2	10-15
A	C9	GRF	2	10-15
A	HKA	G2	2	10-15
B	GAM	FPX	2	10-17
B	JT	SPY	2	10-17
B	GAM	JT	2	10-17
B	SPY	FPX	TBD	10-17
B	SPY	GAM	TBD	10-17
B	FPX	JT	TBD	10-17
A	GRF	C9	TBD	10-18
A	G2	HKA	TBD	10-18
A	HKA	GRF	TBD	10-18
A	C9	G2	TBD	10-18
A	HKA	C9	TBD	10-18
A	G2	GRF	TBD	10-18
C	RNG	SKT	TBD	10-19
C	CG	FNC	TBD	10-19
C	SKT	FNC	TBD	10-19
C	CG	RNG	TBD	10-19
C	SKT	CG	TBD	10-19
C	FNC	RNG	TBD	10-19
D	AHQ	IG	TBD	10-20
D	TL	DWG	TBD	10-20
D	TL	AHQ	TBD	10-20
D	DWG	IG	TBD	10-20
D	DWG	AHQ	TBD	10-20
D	IG	TL	TBD	10-20
